timestamp,open,high,low,close,volume,datetime
1743544800000,85302.0,85411.0,85223.0,85240.0,0.55845874,2025-04-01 22:00:00
1743548400000,85107.0,85502.0,84989.0,85228.0,1.12492284,2025-04-01 23:00:00
1743552000000,85132.0,85204.0,84948.0,84948.0,1.9258532,2025-04-02 00:00:00
1743555600000,84973.0,85186.0,84862.0,85145.0,2.12366257,2025-04-02 01:00:00
1743559200000,85142.0,85142.0,84676.0,84753.0,2.66432518,2025-04-02 02:00:00
1743562800000,84764.0,84896.0,84571.0,84604.0,0.39327876,2025-04-02 03:00:00
1743566400000,84665.0,84690.0,84488.0,84572.0,0.48075539,2025-04-02 04:00:00
1743570000000,84553.0,84553.0,84093.0,84093.0,0.54758145,2025-04-02 05:00:00
1743573600000,84070.0,84309.0,83941.0,84151.0,1.05104595,2025-04-02 06:00:00
1743577200000,84019.0,84428.0,84019.0,84392.0,2.1735665,2025-04-02 07:00:00
1743580800000,84388.0,84708.0,84275.0,84653.0,1.05111989,2025-04-02 08:00:00
1743584400000,84881.0,85428.0,84881.0,84994.0,1.77324952,2025-04-02 09:00:00
1743588000000,85037.0,85264.0,84963.0,84996.0,1.64604696,2025-04-02 10:00:00
1743591600000,84911.0,84911.0,84693.0,84693.0,0.01228734,2025-04-02 11:00:00
1743595200000,84762.0,84762.0,84762.0,84762.0,0.00628779,2025-04-02 12:00:00
1743598800000,85051.0,85787.0,84743.0,85694.0,1.91576855,2025-04-02 13:00:00
1743602400000,85327.0,85837.0,85327.0,85837.0,0.16757309,2025-04-02 14:00:00
1743606000000,85924.0,87197.0,85924.0,86755.0,0.32981675,2025-04-02 15:00:00
1743609600000,86876.0,86876.0,86876.0,86876.0,0.01251197,2025-04-02 16:00:00
1743613200000,87038.0,87151.0,87038.0,87149.0,0.02265329,2025-04-02 17:00:00
1743616800000,87149.0,87149.0,87149.0,87149.0,0.0,2025-04-02 18:00:00
1743620400000,86365.0,86795.0,86365.0,86795.0,0.07130904,2025-04-02 19:00:00
1743624000000,86717.0,88184.0,85585.0,85585.0,1.71681903,2025-04-02 20:00:00
1743627600000,85368.0,85368.0,84355.0,84805.0,1.63259972,2025-04-02 21:00:00
1743631200000,83549.0,83549.0,82802.0,82809.0,1.1666164,2025-04-02 22:00:00
1743634800000,82373.0,82697.0,82329.0,82517.0,0.15123755,2025-04-02 23:00:00
1743638400000,82462.0,83285.0,82394.0,83142.0,0.6781233,2025-04-03 00:00:00
1743642000000,83111.0,83785.0,83111.0,83785.0,0.28871433,2025-04-03 01:00:00
1743645600000,83713.0,83718.0,83713.0,83718.0,0.00647391,2025-04-03 02:00:00
1743649200000,83647.0,83647.0,83585.0,83585.0,0.02072479,2025-04-03 03:00:00
1743652800000,83497.0,83497.0,83359.0,83421.0,0.01911836,2025-04-03 04:00:00
1743656400000,83571.0,83571.0,83438.0,83438.0,0.01930821,2025-04-03 05:00:00
1743660000000,83320.0,83320.0,83066.0,83066.0,0.02096717,2025-04-03 06:00:00
1743663600000,83142.0,83386.0,83142.0,83310.0,0.01627223,2025-04-03 07:00:00
1743667200000,83715.0,83715.0,83715.0,83715.0,0.00209509,2025-04-03 08:00:00
1743670800000,83641.0,83695.0,83464.0,83464.0,0.15028443,2025-04-03 09:00:00
1743674400000,83498.0,83648.0,83349.0,83382.0,0.13870062,2025-04-03 10:00:00
1743678000000,83104.0,83236.0,83104.0,83109.0,2.64509349,2025-04-03 11:00:00
1743681600000,83144.0,83144.0,81919.0,82029.0,1.08798052,2025-04-03 12:00:00
1743685200000,81933.0,82793.0,81815.0,82305.0,1.09173267,2025-04-03 13:00:00
1743688800000,82300.0,82321.0,81349.0,81349.0,1.41778732,2025-04-03 14:00:00
1743692400000,81575.0,81921.0,81230.0,81921.0,0.60240283,2025-04-03 15:00:00
1743696000000,82030.0,82192.0,81795.0,81795.0,0.32874193,2025-04-03 16:00:00
1743699600000,81881.0,81881.0,81670.0,81832.0,0.10460092,2025-04-03 17:00:00
1743703200000,81792.0,82303.0,81603.0,82081.0,2.29184623,2025-04-03 18:00:00
1743706800000,82127.0,82236.0,81938.0,82211.0,0.04481763,2025-04-03 19:00:00
1743710400000,81948.0,81948.0,81948.0,81948.0,0.01347228,2025-04-03 20:00:00
1743714000000,82353.0,82765.0,82353.0,82705.0,0.25140295,2025-04-03 21:00:00
1743717600000,82709.0,82854.0,82628.0,82727.0,0.42263934,2025-04-03 22:00:00
