,Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
82,82,0,0.31159918534902137,2023-06-27 06:00:00+00:00,30320.139999999996,0.0,2023-06-27 07:00:00+00:00,30411.22,0.0,28.380453801590193,0.0030039439131878767,Long,Closed,82
83,83,0,0.30869718281199326,2023-06-29 10:00:00+00:00,30697.109999999997,0.0,2023-06-29 11:00:00+00:00,30670.94,0.0,-8.078605274189613,-0.0008525232505600425,Long,Closed,83
84,84,0,0.3093267094323958,2023-07-01 14:00:00+00:00,30608.52,0.0,2023-07-01 15:00:00+00:00,30572.58,0.0,-11.117201937000573,-0.001174182874572206,Long,Closed,84
85,85,0,0.30853238380044284,2023-07-02 22:00:00+00:00,30651.29,0.0,2023-07-02 23:00:00+00:00,30617.03,0.0,-10.570319469003152,-0.0011177343596305387,Long,Closed,85
86,86,0,0.3015114681178971,2023-07-06 08:00:00+00:00,31329.97,0.0,2023-07-06 09:00:00+00:00,31069.6,0.0,-78.50454095385794,-0.008310572911496677,Long,Closed,86
87,87,0,0.30979886905073256,2023-07-07 17:00:00+00:00,30238.46,0.0,2023-07-07 18:00:00+00:00,30166.32,0.0,-22.348890413320987,-0.002385703504742096,Long,Closed,87
88,88,0,0.3086831967069743,2023-07-09 04:00:00+00:00,30275.35,0.0,2023-07-09 05:00:00+00:00,30260.67,0.0,-4.53146932765776,-0.00048488291629982753,Long,Closed,88
89,89,0,0.3077626751281115,2023-07-10 16:00:00+00:00,30351.18,0.0,2023-07-10 17:00:00+00:00,30278.2,0.0,-22.460520030850603,-0.002404519363003459,Long,Closed,89
90,90,0,0.3048051445150932,2023-07-13 14:00:00+00:00,30571.99,0.0,2023-07-13 15:00:00+00:00,30917.48,0.0,105.30712937851786,0.011300867231737103,Long,Closed,90
91,91,0,0.31116646093871253,2023-07-15 22:00:00+00:00,30285.420000000002,0.0,2023-07-15 23:00:00+00:00,30289.52,0.0,1.275782489849007,0.00013537867396261693,Long,Closed,91
92,92,0,0.3100153227447398,2023-07-16 14:00:00+00:00,30401.99,0.0,2023-07-16 15:00:00+00:00,30379.95,0.0,-6.832737713293682,-0.0007249525442248603,Long,Closed,92
93,93,0,0.3129154085723209,2023-07-19 05:00:00+00:00,30098.390000000003,0.0,2023-07-19 06:00:00+00:00,30044.59,0.0,-16.83484898119059,-0.0017874710241976104,Long,Closed,93
94,94,0,0.3133805051745956,2023-07-20 00:00:00+00:00,30000.0,0.0,2023-07-20 01:00:00+00:00,29987.33,0.0,-3.9705310005610954,-0.0004223333333332237,Long,Closed,94
95,95,0,0.31114512424646174,2023-07-20 07:00:00+00:00,30202.77,0.0,2023-07-20 08:00:00+00:00,30264.55,0.0,19.222545775946855,0.002045507746474957,Long,Closed,95
96,96,0,0.3140805995263527,2023-07-21 18:00:00+00:00,29981.690000000002,0.0,2023-07-21 19:00:00+00:00,29875.99,0.0,-33.198319369936144,-0.0035254850543782594,Long,Closed,96
97,97,0,0.3133252877451062,2023-07-23 08:00:00+00:00,29948.01,0.0,2023-07-23 09:00:00+00:00,29900.18,0.0,-14.986348512848053,-0.0015971011095561542,Long,Closed,97
